,0,1,2
0,老干妈,"经济学人全球早报:严禁强迫用户办5G套餐,老干妈申请老姨妈商标...",['https://t.qianzhan.com/caijing/detail/210205-d8814406.html']
1,老干妈,"美国“辣酱”潜伏中国30年,每年低调捞金300多亿,是老干妈的7倍",['https://new.qq.com/omn/20210130/20210130A06XGK00.html']
2,老干妈,"美国潜伏在中国30年的酱料,每年默默捞金300多亿,是老干妈的7倍",['https://new.qq.com/omn/20210127/20210127A06EJY00.html']
3,老干妈,“老干妈”儿子公司“被限高”!50亿身家的公子哥成坑妈狂魔?,['https://baijiahao.baidu.com/s?id=1687658536306013518&wfr=spider&for=pc']
4,老干妈,老干妈儿子公司又被限制高消费 已被限制高消费19次,['https://baijiahao.baidu.com/s?id=1687411999799439643&wfr=spider&for=pc']
5,老干妈,“老干妈”儿子公司被限制高消费,['https://baijiahao.baidu.com/s?id=1687399547628274904&wfr=spider&for=pc']
6,老干妈,"老干妈辣酱干不干净?在显微镜下放大400倍,结果让人意想不到!",['https://baijiahao.baidu.com/s?id=1687140489098551217&wfr=spider&for=pc']
7,老干妈,"男版老干妈:靠“8分钱”买卖,年入23亿,家喻户晓仍不上市",['https://baijiahao.baidu.com/s?id=1687057793070927381&wfr=spider&for=pc']
8,老干妈,"继老干妈之后,中国又一辣椒酱火了,吃货们不要错过,很下饭",['https://baijiahao.baidu.com/s?id=1686849554184813682&wfr=spider&for=pc']
9,老干妈,"比“老干妈”还牛的辣酱,成立131年,营收377亿,却是“美国货”",['https://baijiahao.baidu.com/s?id=1686416211517768018&wfr=spider&for=pc']
,0,1,2
0,老干妈,"仲景食品欲与老干妈竞争辣酱市场,称瞄准更大市场份额",['https://baijiahao.baidu.com/s?id=1690853999973340574&wfr=spider&for=pc']
1,老干妈,"经济学人全球早报:严禁强迫用户办5G套餐,老干妈申请老姨妈商标...",['https://t.qianzhan.com/caijing/detail/210205-d8814406.html']
2,老干妈,"美国“辣酱”潜伏中国30年,每年低调捞金300多亿,是老干妈的7倍",['https://new.qq.com/omn/20210130/20210130A06XGK00.html']
3,老干妈,"美国潜伏在中国30年的酱料,每年默默捞金300多亿,是老干妈的7倍",['https://new.qq.com/omn/20210127/20210127A06EJY00.html']
4,老干妈,“老干妈”儿子公司“被限高”!50亿身家的公子哥成坑妈狂魔?,['https://baijiahao.baidu.com/s?id=1687658536306013518&wfr=spider&for=pc']
5,老干妈,老干妈儿子公司又被限制高消费 已被限制高消费19次,['https://baijiahao.baidu.com/s?id=1687411999799439643&wfr=spider&for=pc']
6,老干妈,“老干妈”儿子公司被限制高消费,['https://baijiahao.baidu.com/s?id=1687399547628274904&wfr=spider&for=pc']
7,老干妈,"老干妈辣酱干不干净?在显微镜下放大400倍,结果让人意想不到!",['https://baijiahao.baidu.com/s?id=1687140489098551217&wfr=spider&for=pc']
8,老干妈,"男版老干妈:靠“8分钱”买卖,年入23亿,家喻户晓仍不上市",['https://baijiahao.baidu.com/s?id=1687057793070927381&wfr=spider&for=pc']
9,老干妈,"继老干妈之后,中国又一辣椒酱火了,吃货们不要错过,很下饭",['https://baijiahao.baidu.com/s?id=1686849554184813682&wfr=spider&for=pc']
,0,1,2
0,老干妈,"比“老干妈”还牛的辣酱,成立131年,营收377亿,却是“美国货”",['https://baijiahao.baidu.com/s?id=1686416211517768018&wfr=spider&for=pc']
1,老干妈,“老干妈”的二代之殇,['http://www.thepaper.cn/newsDetail_forward_10469099']
2,老干妈,"大儿子建烂尾楼,小儿子差点砸了招牌,不上市的老干妈被坑惨了",['https://baijiahao.baidu.com/s?id=1686393625140257159&wfr=spider&for=pc']
3,老干妈,老干妈:一瓶辣酱打造的财富人生,['https://baijiahao.baidu.com/s?id=1684887017914716255&wfr=spider&for=pc']
4,老干妈,"老干妈背后的女人:“只赚外国钱”,我为自己代言!",['https://baijiahao.baidu.com/s?id=1684790031826606654&wfr=spider&for=pc']
5,老干妈,老干妈怎么变味了?销量反被这款国外辣椒酱远远甩开!,['https://baijiahao.baidu.com/s?id=1684566345135295301&wfr=spider&for=pc']
6,老干妈,"号称四川“老干妈”,辣酱蜀地第一,今欲上市挑战涪陵榨菜",['https://baijiahao.baidu.com/s?id=1684600159043758342&wfr=spider&for=pc']
7,老干妈,老干妈继承者们闹心:大儿子投资房产烂尾 二儿子改配方业绩下滑,['https://baijiahao.baidu.com/s?id=1684513215314808164&wfr=spider&for=pc']
8,老干妈,"老干妈陷内忧外患,儿子拖后腿,销量下滑,50亿企业该交给谁?",['https://baijiahao.baidu.com/s?id=1684398620295325806&wfr=spider&for=pc']
9,老干妈,"它潜伏国内辣酱市场30年,营收是老干妈的7倍,却是家外国公司!",['https://baijiahao.baidu.com/s?id=1684339320248900129&wfr=spider&for=pc']
,0,1,2
0,老干妈,两个儿子拖后腿?50亿“老干妈”该指望谁?,['https://baijiahao.baidu.com/s?id=1684324979235166654&wfr=spider&for=pc']
1,老干妈,"香菇酱第一股背后的隐形富豪:治肾虚,搞汽配,还要挑战老干妈",['https://baijiahao.baidu.com/s?id=1684293428135353893&wfr=spider&for=pc']
2,老干妈,"老干妈的对手来了!“老干爹”登陆A股,三年卖出10个亿!",['https://baijiahao.baidu.com/s?id=1684241183733986038&wfr=spider&for=pc']
3,老干妈,"又一食品巨头上市,首日股价涨200%,还是老干妈最大竞争对手!",['https://baijiahao.baidu.com/s?id=1684223211229703676&wfr=spider&for=pc']
4,老干妈,"老干妈的对手上市,仲景食品今日登陆创业板",['https://baijiahao.baidu.com/s?id=1684203730130447215&wfr=spider&for=pc']
5,老干妈,"老干妈危险了?最大对手上市,首日股价飙升200%!",['https://baijiahao.baidu.com/s?id=1684202379276615824&wfr=spider&for=pc']
6,老干妈,郑重看股:仲景食品股价炒高了 老干妈只是其“假想敌”,['https://baijiahao.baidu.com/s?id=1684204763648075290&wfr=spider&for=pc']
7,老干妈,仲景食品上市:以老干妈为榜样 靠香菇酱市值做到121亿,['https://baijiahao.baidu.com/s?id=1684161490533518920&wfr=spider&for=pc']
8,老干妈,"老干妈强劲对手“香菇酱” 来A股了,成本仅3元一年能卖2亿丨热公司",['https://baijiahao.baidu.com/s?id=1684157239187504836&wfr=spider&for=pc']
9,老干妈,上市首日暴涨200%!3年卖出10个亿 这位隐形大佬要单挑“老干妈”,['https://baijiahao.baidu.com/s?id=1684142281385911733&wfr=spider&for=pc']
,0,1,2
0,老干妈,"老干妈危机何解?陶华碧一手缔造45亿营收,要败在两个儿子手上?",['https://baijiahao.baidu.com/s?id=1684128429585064971&wfr=spider&for=pc']
1,老干妈,"变味的老干妈“满血复活”?73岁陶华碧一招逆袭,儿子却不争气",['https://baijiahao.baidu.com/s?id=1684114010908710750&wfr=spider&for=pc']
2,老干妈,"低调的“国民女神”老干妈,晚年要为两个儿子操碎心",['https://baijiahao.baidu.com/s?id=1683774802860356920&wfr=spider&for=pc']
3,老干妈,"老干妈从巅峰跌落神坛,73岁陶华碧亲自出马,第一件事就是换它!",['https://baijiahao.baidu.com/s?id=1683408115765587403&wfr=spider&for=pc']
4,老干妈,“败家”的儿子们 72岁“老干妈”又摊上事了 大儿子投资烂尾楼?,['https://baijiahao.baidu.com/s?id=1683230112842625846&wfr=spider&for=pc']
5,老干妈,泸州老窖香水、老干妈卫衣……“国潮”何以成热潮?,['https://baijiahao.baidu.com/s?id=1682119840508833739&wfr=spider&for=pc']
6,老干妈,"老干妈在澳大利亚被召回,竟是因为……",['https://baijiahao.baidu.com/s?id=1681585322968119818&wfr=spider&for=pc']
7,老干妈,老干妈又出事!网友炸了,['https://baijiahao.baidu.com/s?id=1681564548742444399&wfr=spider&for=pc']
8,老干妈,"豪横!因iPhone12上热搜,“男版老干妈”年收23亿,就是不上市",['https://baijiahao.baidu.com/s?id=1680673231647533560&wfr=spider&for=pc']
9,老干妈,"2600件老干妈高速上被烧毁:损失超30万,无人员伤亡",['https://baijiahao.baidu.com/s?id=1680618264661219357&wfr=spider&for=pc']
,0,1,2
0,老干妈,泸州老窖香水、老干妈卫衣……“国潮”何以成热潮?,['https://baijiahao.baidu.com/s?id=1682119840508833739&wfr=spider&for=pc']
1,老干妈,"老干妈在澳大利亚被召回,竟是因为……",['https://baijiahao.baidu.com/s?id=1681585322968119818&wfr=spider&for=pc']
2,老干妈,老干妈又出事!网友炸了,['https://baijiahao.baidu.com/s?id=1681564548742444399&wfr=spider&for=pc']
3,老干妈,"豪横!因iPhone12上热搜,“男版老干妈”年收23亿,就是不上市",['https://baijiahao.baidu.com/s?id=1680673231647533560&wfr=spider&for=pc']
4,老干妈,"2600件老干妈高速上被烧毁:损失超30万,无人员伤亡",['https://baijiahao.baidu.com/s?id=1680618264661219357&wfr=spider&for=pc']
5,老干妈,"年销6亿的老干妈“失宠”?因接班人贪图便宜,网友:被欺骗了!",['https://baijiahao.baidu.com/s?id=1679236191790796336&wfr=spider&for=pc']
6,老干妈,"23年狂澜666个商标,“商标狂人”是谁?不是老干妈而是“它”",['https://baijiahao.baidu.com/s?id=1678231149554891765&wfr=spider&for=pc']
7,老干妈,"颖儿近照暴瘦认不出!说话表情僵硬,曾为减肥每天只吃一粒老干妈",['https://baijiahao.baidu.com/s?id=1678156464657667515&wfr=spider&for=pc']
8,老干妈,"继马应龙老干妈又一国货在国外爆火,被外国网友评为新死党!",['https://baijiahao.baidu.com/s?id=1677975379998938598&wfr=spider&for=pc']
9,老干妈,狭路相逢的老干妈与李子柒,['https://baijiahao.baidu.com/s?id=1677912770487796512&wfr=spider&for=pc']
,0,1,2
0,泰奇食品,家豪食品、泰奇食品“失意” 三批次产品被检不合格,['http://dy.163.com/article/G0HM78910525CR59.html']
1,泰奇食品,IP荒来临 泰奇食品打造《忍者萌剑传》原创IP,['https://www.163.com/dy/article/G0HM2N0M0525CR59.html']
2,泰奇食品,广东省和平县市场监督管理局:3批食品抽检不合格,['http://www.cqn.com.cn/ms/content/2020-10/27/content_8640599.htm']
3,泰奇食品,"巴西总统无视科学随性抗疫,新卫生部长怒辞职,该国抗病毒愈发混乱",['https://xw.qq.com/cmsid/20200517A03LSU00']
4,泰奇食品,三批速冻食品调味品抽检不合格,['https://tech.hexun.com/2019-09-12/198530331.html']
5,泰奇食品,上海市市场监管局:3批次食品样品抽检不合格,['http://www.cqn.com.cn/ms/content/2019-09/11/content_7532961.htm']
6,泰奇食品,上海市浦东新区抽检糕点样品6批次 全部合格,['http://www.cqn.com.cn/ms/content/2019-06/28/content_7262794.htm']
7,泰奇食品,泰奇八宝粥员工激情满怀踏上新的征程,['https://baijiahao.baidu.com/s?id=1621537896780625508&wfr=spider&for=pc']
8,泰奇食品,泰奇食品公司与衡南人民一起“享美景美食颂美德美行”,['https://xw.qq.com/cmsid/20181202A0DX5K/20181202A0DX5K00']
9,泰奇食品,上海浦东新区市场监管局抽检糕点样品17批次 全部合格,['http://www.cqn.com.cn/ms/content/2018-10/29/content_6394125.htm']
,0,1,2
0,泰奇食品,湖南十三届省运会9月3日开幕 广州泰奇食品公司现场送,['https://baijiahao.baidu.com/s?id=1610480302031012703&wfr=spider&for=pc']
1,泰奇食品,上海奉贤区市场监管局抽检150批次餐饮食品样品 不合格3批次,['http://www.cqn.com.cn/ms/content/2018-06/27/content_5966196.htm']
2,泰奇食品,苏州市食药监局公布164批次抽检合格食品样品,['http://www.cqn.com.cn/ms/content/2018-06/15/content_5923676.htm']
3,泰奇食品,上海市奉贤区市场监管局抽检餐饮食品174批次 不合格样品30批次,['http://www.cqn.com.cn/ms/content/2017-06/26/content_4479716.htm']
4,泰奇食品,3元八宝粥赔了1000元:食品安全不再“小事化了”,['http://www.ce.cn/cysc/sp/info/201703/10/t20170310_20898504.shtml']
5,泰奇食品,食药监总局抽检罐头112批次 未检出不合格样品,['http://www.cqn.com.cn/ms/content/2016-05/04/content_2877284.htm']
6,泰奇食品,泰奇食品选用IFS应用系统应对市场挑战,['http://cio.it168.com/a2014/0507/1620/000001620629.shtml']
7,泰奇食品,2020年中国罐头市场现状调查与未来发展前景趋势报告,['https://www.cir.cn/2014-05/GuanTouShiChangDiaoYanBaoGao.html']
8,泰奇食品,凰厨等两批次罐头产品不合格_中国经济网――国家经济门户,['http://www.ce.cn/cysc/sp/info/201404/22/t20140422_2702537.shtml']
9,泰奇食品,吉野家被曝餐具基本不消毒 - 食事聚焦 - 食品频道 - 新华网,['http://www.xinhuanet.com/food/zt80/zt80.htm']
,0,1,2
0,泰奇食品,上海奉贤区市场监管局抽检150批次餐饮食品样品 不合格3批次,['http://www.cqn.com.cn/ms/content/2018-06/27/content_5966196.htm']
1,泰奇食品,苏州市食药监局公布164批次抽检合格食品样品,['http://www.cqn.com.cn/ms/content/2018-06/15/content_5923676.htm']
2,泰奇食品,上海市奉贤区市场监管局抽检餐饮食品174批次 不合格样品30批次,['http://www.cqn.com.cn/m/ms/content/2017-06/26/content_4479716.htm']
3,泰奇食品,3元八宝粥赔了1000元:食品安全不再“小事化了”,['http://www.ce.cn/cysc/sp/info/201703/10/t20170310_20898504.shtml']
4,泰奇食品,食药监总局抽检罐头112批次 未检出不合格样品,['http://www.cqn.com.cn/ms/content/2016-05/04/content_2877284.htm']
5,泰奇食品,泰奇食品选用IFS应用系统应对市场挑战,['http://cio.it168.com/a2014/0507/1620/000001620629.shtml']
6,泰奇食品,2020年中国罐头市场现状调查与未来发展前景趋势报告,['https://www.cir.cn/2014-05/GuanTouShiChangDiaoYanBaoGao.html']
7,泰奇食品,凰厨等两批次罐头产品不合格_中国经济网――国家经济门户,['http://www.ce.cn/cysc/sp/info/201404/22/t20140422_2702537.shtml']
8,泰奇食品,广州质监公布2013第12批日常抽检结果 两批次罐头不合格,['http://money.163.com/14/0121/11/9J42C3KO00253B0H.html#from=relevant#xwwzy_35_bottomnewskwd']
9,泰奇食品,广州质监公布2013年第十批食品抽查结果 1批次罐头不合格,['http://www.cqn.com.cn/ms/content/2013-11/19/content_2003064.htm']
