,id,AspectTerms,A_start,A_end,OpinionTerms,O_start,O_end,Categories,Polarities,text
52,16,包装,0,2,精美,2,4,包装,正面,包装精美，分量足，看着非常健康有食欲，方便简单，养胃
53,16,分量,5,7,足,7,8,整体,正面,包装精美，分量足，看着非常健康有食欲，方便简单，养胃
54,16,_,,,非常健康,11,15,整体,正面,包装精美，分量足，看着非常健康有食欲，方便简单，养胃
55,16,_,,,有食欲,15,18,口味,正面,包装精美，分量足，看着非常健康有食欲，方便简单，养胃
56,16,_,,,方便,19,21,整体,正面,包装精美，分量足，看着非常健康有食欲，方便简单，养胃
57,16,_,,,简单,21,23,整体,正面,包装精美，分量足，看着非常健康有食欲，方便简单，养胃
58,17,香味,0,2,浓,2,3,口味,正面,香味浓，软糯，口感很好，煮粥包寿司都不错
59,17,_,,,软糯,4,6,口味,正面,香味浓，软糯，口感很好，煮粥包寿司都不错
60,17,口感,7,9,很好,9,11,口味,正面,香味浓，软糯，口感很好，煮粥包寿司都不错
61,18,颗粒,2,4,挺大,4,6,整体,正面,赤豆颗粒挺大的，很干净，经常买。
62,18,_,,,很干净,8,11,整体,正面,赤豆颗粒挺大的，很干净，经常买。
63,19,_,,,有些失望,0,4,整体,负面,有些失望，没有在印尼吃饭的番茄辣椒酱好吃，味道不一样，这个咸味够了，但是不够辣
64,19,_,,,咸味够了,29,33,口味,正面,有些失望，没有在印尼吃饭的番茄辣椒酱好吃，味道不一样，这个咸味够了，但是不够辣
65,19,_,,,不够辣,36,39,口味,负面,有些失望，没有在印尼吃饭的番茄辣椒酱好吃，味道不一样，这个咸味够了，但是不够辣
66,20,_,,,不怎么好吃,0,5,口味,负面,不怎么好吃，味道怪怪的，没有番茄酱好吃，也没有甜辣酱好吃，颜色比甜辣酱深，但是亨氏这个牌子好像没有甜辣酱。
67,20,味道,6,8,怪怪的,8,11,口味,负面,不怎么好吃，味道怪怪的，没有番茄酱好吃，也没有甜辣酱好吃，颜色比甜辣酱深，但是亨氏这个牌子好像没有甜辣酱。
68,21,袋子,0,2,都是脏的,2,6,包装,负面,袋子都是脏的，很无语，特别脏的那种，不好吃
69,21,_,,,很无语,7,10,整体,负面,袋子都是脏的，很无语，特别脏的那种，不好吃
70,21,_,,,特别脏,11,14,包装,负面,袋子都是脏的，很无语，特别脏的那种，不好吃
71,21,_,,,不好吃,18,21,口味,负面,袋子都是脏的，很无语，特别脏的那种，不好吃
72,22,_,,,不好吃,0,3,口味,负面,不好吃，呛人，个人不喜欢
73,22,_,,,呛人,4,6,口味,负面,不好吃，呛人，个人不喜欢
74,22,_,,,不喜欢,9,12,整体,负面,不好吃，呛人，个人不喜欢
75,23,_,,,糖比水多,20,24,整体,负面,配料表，糖，水，辣椒，番茄，良心不痛么，糖比水多，辣椒19%比番茄多，这还算番茄酱？辣椒酱也不算，没辣味没番茄味全是甜味，含盐量73%超高却排末尾，都不知道怎么做出来的，
76,23,_,,,没辣味,49,52,口味,负面,配料表，糖，水，辣椒，番茄，良心不痛么，糖比水多，辣椒19%比番茄多，这还算番茄酱？辣椒酱也不算，没辣味没番茄味全是甜味，含盐量73%超高却排末尾，都不知道怎么做出来的，
77,23,_,,,没番茄味,52,56,口味,负面,配料表，糖，水，辣椒，番茄，良心不痛么，糖比水多，辣椒19%比番茄多，这还算番茄酱？辣椒酱也不算，没辣味没番茄味全是甜味，含盐量73%超高却排末尾，都不知道怎么做出来的，
78,23,_,,,全是甜味,56,60,口味,负面,配料表，糖，水，辣椒，番茄，良心不痛么，糖比水多，辣椒19%比番茄多，这还算番茄酱？辣椒酱也不算，没辣味没番茄味全是甜味，含盐量73%超高却排末尾，都不知道怎么做出来的，
79,24,_,,,很好吃,0,3,口味,正面,很好吃，就是有点贵！！！！
80,24,_,,,有点贵,6,9,价格,负面,很好吃，就是有点贵！！！！
81,25,_,,,太坏了,20,23,整体,负面,这次买的这个暴下饭香菇竹笋牛肉味的真的是太坏了，到手的时候包装上全都是油，连纸箱都是油，都浸湿了，打开的时候里面有一瓶已经油都漏没了，盖子也很松，轻轻一开就打开了，然后吃了几天就吃坏了，上吐下泻的，真的是太遭罪了，以前买过这个肉沫炒泡菜这个口味的都没有出现过这个问题，就这个什么牛肉香菇这个吃了就吃出问题来了，不光是我，家里人吃了也拉肚子，后来果断把剩下的都扔了，以后再也不买了。
82,25,包装,29,31,全都是油,32,36,包装,负面,这次买的这个暴下饭香菇竹笋牛肉味的真的是太坏了，到手的时候包装上全都是油，连纸箱都是油，都浸湿了，打开的时候里面有一瓶已经油都漏没了，盖子也很松，轻轻一开就打开了，然后吃了几天就吃坏了，上吐下泻的，真的是太遭罪了，以前买过这个肉沫炒泡菜这个口味的都没有出现过这个问题，就这个什么牛肉香菇这个吃了就吃出问题来了，不光是我，家里人吃了也拉肚子，后来果断把剩下的都扔了，以后再也不买了。
83,25,纸箱,38,40,都是油,33,36,包装,负面,这次买的这个暴下饭香菇竹笋牛肉味的真的是太坏了，到手的时候包装上全都是油，连纸箱都是油，都浸湿了，打开的时候里面有一瓶已经油都漏没了，盖子也很松，轻轻一开就打开了，然后吃了几天就吃坏了，上吐下泻的，真的是太遭罪了，以前买过这个肉沫炒泡菜这个口味的都没有出现过这个问题，就这个什么牛肉香菇这个吃了就吃出问题来了，不光是我，家里人吃了也拉肚子，后来果断把剩下的都扔了，以后再也不买了。
84,25,盖子,67,69,很松,70,72,包装,负面,这次买的这个暴下饭香菇竹笋牛肉味的真的是太坏了，到手的时候包装上全都是油，连纸箱都是油，都浸湿了，打开的时候里面有一瓶已经油都漏没了，盖子也很松，轻轻一开就打开了，然后吃了几天就吃坏了，上吐下泻的，真的是太遭罪了，以前买过这个肉沫炒泡菜这个口味的都没有出现过这个问题，就这个什么牛肉香菇这个吃了就吃出问题来了，不光是我，家里人吃了也拉肚子，后来果断把剩下的都扔了，以后再也不买了。
85,25,_,,,都浸湿了,44,48,包装,负面,这次买的这个暴下饭香菇竹笋牛肉味的真的是太坏了，到手的时候包装上全都是油，连纸箱都是油，都浸湿了，打开的时候里面有一瓶已经油都漏没了，盖子也很松，轻轻一开就打开了，然后吃了几天就吃坏了，上吐下泻的，真的是太遭罪了，以前买过这个肉沫炒泡菜这个口味的都没有出现过这个问题，就这个什么牛肉香菇这个吃了就吃出问题来了，不光是我，家里人吃了也拉肚子，后来果断把剩下的都扔了，以后再也不买了。
86,25,_,,,上吐下泻,93,97,整体,负面,这次买的这个暴下饭香菇竹笋牛肉味的真的是太坏了，到手的时候包装上全都是油，连纸箱都是油，都浸湿了，打开的时候里面有一瓶已经油都漏没了，盖子也很松，轻轻一开就打开了，然后吃了几天就吃坏了，上吐下泻的，真的是太遭罪了，以前买过这个肉沫炒泡菜这个口味的都没有出现过这个问题，就这个什么牛肉香菇这个吃了就吃出问题来了，不光是我，家里人吃了也拉肚子，后来果断把剩下的都扔了，以后再也不买了。
87,25,_,,,拉肚子,166,169,整体,负面,这次买的这个暴下饭香菇竹笋牛肉味的真的是太坏了，到手的时候包装上全都是油，连纸箱都是油，都浸湿了，打开的时候里面有一瓶已经油都漏没了，盖子也很松，轻轻一开就打开了，然后吃了几天就吃坏了，上吐下泻的，真的是太遭罪了，以前买过这个肉沫炒泡菜这个口味的都没有出现过这个问题，就这个什么牛肉香菇这个吃了就吃出问题来了，不光是我，家里人吃了也拉肚子，后来果断把剩下的都扔了，以后再也不买了。
88,26,味道,0,2,一般,2,4,口味,负面,味道一般，太过于甜了，番茄味道反而较少，不会回购。
89,26,_,,,太过于甜了,5,10,口味,负面,味道一般，太过于甜了，番茄味道反而较少，不会回购。
90,26,味道,13,15,较少,17,19,口味,负面,味道一般，太过于甜了，番茄味道反而较少，不会回购。
91,27,物流体验,0,4,真差,4,6,物流,负面,物流体验真差！
92,28,_,,,不油腻,12,15,口味,正面,辣椒酱里无限回购的一款，不油腻还很香
93,28,_,,,很香,16,18,口味,正面,辣椒酱里无限回购的一款，不油腻还很香
94,29,_,,,不咸,21,23,口味,正面,香辣口味的酱，配方好，辣的够劲，肉块挺多，不咸，特下饭，包装精美，价格实惠，京东物流快。
95,29,_,,,特下饭,24,27,口味,正面,香辣口味的酱，配方好，辣的够劲，肉块挺多，不咸，特下饭，包装精美，价格实惠，京东物流快。
96,29,包装,28,30,精美,30,32,包装,正面,香辣口味的酱，配方好，辣的够劲，肉块挺多，不咸，特下饭，包装精美，价格实惠，京东物流快。
97,29,价格,33,35,实惠,35,37,价格,正面,香辣口味的酱，配方好，辣的够劲，肉块挺多，不咸，特下饭，包装精美，价格实惠，京东物流快。
98,29,物流,40,42,快,42,43,物流,正面,香辣口味的酱，配方好，辣的够劲，肉块挺多，不咸，特下饭，包装精美，价格实惠，京东物流快。
99,29,配方,7,9,好,9,10,整体,正面,香辣口味的酱，配方好，辣的够劲，肉块挺多，不咸，特下饭，包装精美，价格实惠，京东物流快。
100,29,_,,,肉块挺多,16,20,整体,正面,香辣口味的酱，配方好，辣的够劲，肉块挺多，不咸，特下饭，包装精美，价格实惠，京东物流快。
101,29,_,,,辣的够劲,11,15,口味,正面,香辣口味的酱，配方好，辣的够劲，肉块挺多，不咸，特下饭，包装精美，价格实惠，京东物流快。
102,30,_,,,冒牌货,9,12,体验,负面,根本就不是虎帮辣酱冒牌货
103,31,包装,5,7,完好,7,9,包装,正面,货已收到，包装完好，无泄漏。食用很方便。只是感觉有点辣。
104,31,_,,,无泄漏,10,13,包装,正面,货已收到，包装完好，无泄漏。食用很方便。只是感觉有点辣。
105,31,食用,14,16,很方便,16,19,包装,正面,货已收到，包装完好，无泄漏。食用很方便。只是感觉有点辣。
106,31,_,,,有点辣,24,27,口味,负面,货已收到，包装完好，无泄漏。食用很方便。只是感觉有点辣。
107,32,颜色,9,11,挺好,11,13,体验,正面,有机十谷米，搭配的颜色挺好，感觉非常的健康！
108,32,_,,,非常的健康,16,21,体验,正面,有机十谷米，搭配的颜色挺好，感觉非常的健康！
109,33,快递,2,4,很给力,4,7,物流,正面,京东快递很给力，一般都不用等，隔天就收到了！
110,34,包装,2,4,压缩,0,2,包装,正面,压缩包装的，打开看感觉颗粒很饱满，没有杂质，里面有花生，大米，黑豆等，煮粥前先泡一泡，煮出来的粥软糯可口，腊八节可以煮腊八粥了！
111,34,_,,,没有杂质,17,21,整体,正面,压缩包装的，打开看感觉颗粒很饱满，没有杂质，里面有花生，大米，黑豆等，煮粥前先泡一泡，煮出来的粥软糯可口，腊八节可以煮腊八粥了！
112,34,_,,,软糯可口,48,52,口味,正面,压缩包装的，打开看感觉颗粒很饱满，没有杂质，里面有花生，大米，黑豆等，煮粥前先泡一泡，煮出来的粥软糯可口，腊八节可以煮腊八粥了！
113,35,口感,2,4,醇香,57,59,口味,正面,风味口感：我自己煮饭的时候又加了一些豆子和蜜枣，煮出来稠稠的，也不需要在进行勾兑面粉，吃起来很好吃，米制新鲜，口感醇香。满意点赞，好吃。
114,35,_,,,好吃,47,49,口味,正面,风味口感：我自己煮饭的时候又加了一些豆子和蜜枣，煮出来稠稠的，也不需要在进行勾兑面粉，吃起来很好吃，米制新鲜，口感醇香。满意点赞，好吃。
115,35,_,,,吃起来很好吃,43,49,口味,正面,风味口感：我自己煮饭的时候又加了一些豆子和蜜枣，煮出来稠稠的，也不需要在进行勾兑面粉，吃起来很好吃，米制新鲜，口感醇香。满意点赞，好吃。
116,35,_,,,满意点赞,60,64,整体,正面,风味口感：我自己煮饭的时候又加了一些豆子和蜜枣，煮出来稠稠的，也不需要在进行勾兑面粉，吃起来很好吃，米制新鲜，口感醇香。满意点赞，好吃。
117,36,包装,2,4,完好,7,9,包装,正面,产品包装：包装完好，不漏气。不胀气，快递也很快，服务态度好。“
118,36,_,,,不漏气,10,13,包装,正面,产品包装：包装完好，不漏气。不胀气，快递也很快，服务态度好。“
119,36,_,,,不胀气,14,17,包装,正面,产品包装：包装完好，不漏气。不胀气，快递也很快，服务态度好。“
120,36,服务,24,26,态度好,26,29,体验,正面,产品包装：包装完好，不漏气。不胀气，快递也很快，服务态度好。“
121,36,快递,18,20,也很快,20,23,物流,正面,产品包装：包装完好，不漏气。不胀气，快递也很快，服务态度好。“
122,37,产地,0,2,很好的,3,6,整体,正面,产地：很好的，这个产地是中国人的粮食产地应该是放心的。“
123,38,价格,5,7,实惠,8,10,价格,正面,质量超好，价格还实惠，送人或自己用都特别有面子第一次买，感觉不错，再用段时间看看咯
124,38,质量,0,2,好,3,4,整体,正面,质量超好，价格还实惠，送人或自己用都特别有面子第一次买，感觉不错，再用段时间看看咯
125,39,发货,0,2,速度快,2,5,物流,正面,发货速度快，服务态度好，价格很优惠，东西也很好。一直很喜欢京东买东西
126,39,服务,6,8,态度好,8,11,体验,正面,发货速度快，服务态度好，价格很优惠，东西也很好。一直很喜欢京东买东西
127,39,价格,12,14,很优惠,14,17,价格,正面,发货速度快，服务态度好，价格很优惠，东西也很好。一直很喜欢京东买东西
128,40,品牌,11,13,值得信赖,13,17,体验,正面,进口食品，非常好吃。大品牌值得信赖，京东超值享受！
129,40,_,,,非常好吃,5,9,口味,正面,进口食品，非常好吃。大品牌值得信赖，京东超值享受！
130,40,_,,,超值,20,22,价格,正面,进口食品，非常好吃。大品牌值得信赖，京东超值享受！
131,41,物流,3,5,速度很快,5,9,物流,正面,京东的物流速度很快，一天就到了，东西还不错。
132,41,_,,,一天就到了,10,15,物流,正面,京东的物流速度很快，一天就到了，东西还不错。
133,41,_,,,还不错,18,21,整体,正面,京东的物流速度很快，一天就到了，东西还不错。
134,42,物流,10,12,很快,12,14,物流,正面,物美价廉，服务很好，物流很快。
135,42,_,,,物美价廉,0,4,价格,正面,物美价廉，服务很好，物流很快。
136,42,服务,5,7,很好,7,9,体验,正面,物美价廉，服务很好，物流很快。
137,43,物流,6,8,非常方便,8,12,物流,正面,非常好，京东物流非常方便，送货到家很快，棒棒棒
138,43,_,,,非常好,0,3,整体,正面,非常好，京东物流非常方便，送货到家很快，棒棒棒
139,43,物流,6,8,很快,17,19,物流,正面,非常好，京东物流非常方便，送货到家很快，棒棒棒
140,44,价格,12,14,划算,15,17,价格,正面,给朋友买的杂粮米，很好，价格也划算
141,44,_,,,很好,9,11,整体,正面,给朋友买的杂粮米，很好，价格也划算
142,45,价格,34,36,实惠,36,38,价格,正面,十种谷物全是有机的，并且有有机食品标识安全可靠。自营商品绝对优点多，价格实惠活动价格，送货及时服务态度好，最可贵的售后有保证，家中日常用品基本都是京东购买，偶尔出现质量问题退换无忧及时。
143,45,服务,47,49,态度好,49,52,体验,正面,十种谷物全是有机的，并且有有机食品标识安全可靠。自营商品绝对优点多，价格实惠活动价格，送货及时服务态度好，最可贵的售后有保证，家中日常用品基本都是京东购买，偶尔出现质量问题退换无忧及时。
144,45,送货,43,45,及时,45,47,物流,正面,十种谷物全是有机的，并且有有机食品标识安全可靠。自营商品绝对优点多，价格实惠活动价格，送货及时服务态度好，最可贵的售后有保证，家中日常用品基本都是京东购买，偶尔出现质量问题退换无忧及时。
145,45,_,,,安全可靠,19,23,整体,正面,十种谷物全是有机的，并且有有机食品标识安全可靠。自营商品绝对优点多，价格实惠活动价格，送货及时服务态度好，最可贵的售后有保证，家中日常用品基本都是京东购买，偶尔出现质量问题退换无忧及时。
146,46,_,,,不错,7,9,整体,正面,风味口感：东西不错，只是觉得豆子太多了，米相对来说有点少。如果你喜欢粥稀点，这个有机十谷米还是不错的。假如能够多点米就更好了。也许这是我的要求吧了，但是我还是相信我的感觉的。希望厂家能够调研要一下，看看我反映的情况是否真实。
147,46,豆子,14,16,太多了,16,19,整体,负面,风味口感：东西不错，只是觉得豆子太多了，米相对来说有点少。如果你喜欢粥稀点，这个有机十谷米还是不错的。假如能够多点米就更好了。也许这是我的要求吧了，但是我还是相信我的感觉的。希望厂家能够调研要一下，看看我反映的情况是否真实。
148,46,米,20,21,有点少,25,28,整体,负面,风味口感：东西不错，只是觉得豆子太多了，米相对来说有点少。如果你喜欢粥稀点，这个有机十谷米还是不错的。假如能够多点米就更好了。也许这是我的要求吧了，但是我还是相信我的感觉的。希望厂家能够调研要一下，看看我反映的情况是否真实。
150,48,味道,4,6,很好,6,8,口味,正面,很不错，味道很好
151,49,味道,2,4,还可以,4,7,口味,正面,不错味道还可以
152,49,_,,,不错,0,2,整体,正面,不错味道还可以
153,50,品牌,17,19,有保证,19,22,体验,正面,一直买这个牌子的，无限次回购了，大品牌有保证，京东自营售后及时！赞?
154,50,_,,,一直买,0,3,整体,正面,一直买这个牌子的，无限次回购了，大品牌有保证，京东自营售后及时！赞?
155,50,_,,,回购,12,14,整体,正面,一直买这个牌子的，无限次回购了，大品牌有保证，京东自营售后及时！赞?
156,50,售后,27,29,及时,29,31,体验,正面,一直买这个牌子的，无限次回购了，大品牌有保证，京东自营售后及时！赞?
157,50,_,,,赞,32,33,整体,正面,一直买这个牌子的，无限次回购了，大品牌有保证，京东自营售后及时！赞?
158,51,包装,0,2,精美,2,4,包装,正面,包装精美，还没吃，看上去就不错
160,52,包装,2,4,密封,5,7,包装,正面,产品包装：密封包装“
161,53,包装,0,2,完好,2,4,包装,正面,包装完好，还没煮过，看起来还不错，准备拿隔水小炖锅试试
163,54,包装,2,4,方便,7,9,包装,正面,独立包装吃起来方便。
164,55,包装,3,5,精致,5,7,包装,正面,量小，包装精致…食用方便，杂粮有益身体健康
165,55,量,0,1,小,1,2,整体,负面,量小，包装精致…食用方便，杂粮有益身体健康
166,55,食用,8,10,方便,10,12,包装,正面,量小，包装精致…食用方便，杂粮有益身体健康
167,56,包装,9,11,挺好,12,14,包装,正面,给孩子早上煲粥吃，包装得挺好。
168,57,生产日期,9,13,太差了,13,16,整体,负面,第一次买这个牌子，生产日期太差了，上年12月的，难怪要促销。
169,58,价格,16,18,贵,18,19,价格,负面,还没用，感觉比原来买的其他牌子的价格贵点，希望口感更好吧
171,59,_,,,非常不错,0,4,整体,正面,非常不错啊 哈哈哈哈
172,60,_,,,很不错,0,3,整体,正面,很不错，推荐
173,60,_,,,推荐,4,6,整体,正面,很不错，推荐
174,61,_,,,真挺合适,8,12,整体,正面,囤货囤货中，买的真挺合适的，以后全能用的上
175,61,_,,,囤货,0,2,整体,正面,囤货囤货中，买的真挺合适的，以后全能用的上
176,62,豆类,0,2,多了点,2,5,整体,负面,豆类多了点
177,63,_,,,不黏稠,7,10,口味,负面,这个熬出来的粥不黏稠 有点失望
178,63,_,,,有点失望,11,15,整体,负面,这个熬出来的粥不黏稠 有点失望
179,64,购物,2,4,实在方便,4,8,体验,正面,京东购物实在方便，活动力度大，物流速度快，产品和实体店一样，方便，快捷，实惠，信任京东，购物
180,64,物流,15,17,速度快,17,20,物流,正面,京东购物实在方便，活动力度大，物流速度快，产品和实体店一样，方便，快捷，实惠，信任京东，购物
181,64,活动,9,11,力度大,11,14,价格,正面,京东购物实在方便，活动力度大，物流速度快，产品和实体店一样，方便，快捷，实惠，信任京东，购物
182,64,_,,,信任,39,41,体验,正面,京东购物实在方便，活动力度大，物流速度快，产品和实体店一样，方便，快捷，实惠，信任京东，购物
183,65,_,,,还可以,0,3,整体,正面,还可以
184,66,_,,,还好,0,2,整体,正面,还好
185,67,_,,,不错,0,2,整体,正面,不错
186,68,风味,0,2,好吃,17,19,口味,正面,风味口感：多种杂粮，米香豆香都有，好吃
187,68,口感,2,4,好吃,17,19,口味,正面,风味口感：多种杂粮，米香豆香都有，好吃
188,69,包装,2,4,很好,11,13,包装,正面,产品包装：这个品牌包装很好小包装，打开两三天就吃完了。
189,69,包装,2,4,小,13,14,包装,正面,产品包装：这个品牌包装很好小包装，打开两三天就吃完了。
